Station Name, Latitude, Longitude
Dadahup Hub, -2.657523, 114.600248
Bunguran Barat Hub, 3.792872, 108.0341
Siompu Hub, -5.644418, 122.520071
Lampasio Hub, 0.913432, 120.847286
Oheo Hub, -3.367199, 122.060013
Benua Hub, -4.259, 122.125556
Mowila Hub, -4.103289, 122.24134
Towuti 2 Hub, -2.587635, 121.577067
Wonosari 3 Hub, 0.70761, 122.451632
Gu Hub, -5.256544, 122.565127
Bone Hub, 0.378758, 123.209706
Tebo Tengah 2 Hub, -1.480109, 102.446589
Kuala Betara Hub, -0.92294, 103.458702
Segedong Hub, 0.160078, 109.200275
Pamona Timur Hub, -1.897011, 120.837153
Portibi Hub, 1.45229, 99.648736
Lasalimu Hub, -5.226911, 122.941727
Tigo Lurah Hub, -0.96697, 100.89163
Kampung Rakyat 2 Hub, 1.938906, 100.246017
Nuhon Hub, -0.935586, 122.13795
Bontosikuyu Hub, -6.248508, 120.473385
Kauditan Hub, 1.39547, 125.046632
Purbaratu Hub, -7.332518, 108.246654
Bayung Lencir 2 Hub, -2.162667, 103.703361
Pondokgede 5 Hub, -6.285771, 106.935832
Sekampung Hub, -5.15431, 105.404912
Jeumpa Hub, 5.206448, 96.666375
Citeureup 3 Hub, -6.515925, 106.902605
Bandar Simalungun 2 Hub, 3.16275, 99.313972
Renah Mendaluh Hub, -1.270837, 102.94641
Mampang Prapatan 2 Hub, -6.248418, 106.822176
Cluwak Hub, -6.534667, 110.975972
Winongan Hub, -7.714871, 112.997742
Buay Madang Timur Hub, -4.188517, 104.594927
Magelang Utara Hub, -7.450795, 110.21938
Gantorang Hub, -5.533119, 120.192506
Lembursitu Hub, -6.959357, 106.892235
Ciputat Timur 2 Hub, -6.294032, 106.765293
Tanggetada Hub, -4.372083, 121.529333
Solokuro Hub, -6.957083, 112.391389
MH 1 Belakang Padang Hub, 1.155238, 103.892234
MH 1 Seponti Hub, -0.863613, 109.833891
Sianjur Mula - Mula Hub, -6, 106
